epoch,sat_id,state_index,active,observable,lifecycle_state,lineage_id,generation,parent_lineage_id,sigma_mm,resets,accepts,rejects,born_epoch,lifetime_epochs,rejection_streak,acceptance_streak,continuous_active_epochs,continuous_filter_epochs,rolling_sigma_mm,convergence_score
1200,E34,32,1,1,ACTIVE,LIN-001782,1,LIN-001777,51.61,1,67,405,753,447,1,0,448,63,52.54,0.1742
1200,G01,9,0,0,DORMANT,LIN-001857,73,LIN-001856,19998.66,78,60,340,864,336,0,0,0,0,19999.96,0.0000
1200,G02,18,0,0,DORMANT,LIN-001766,55,LIN-001765,19996.27,59,16,153,684,516,1,0,0,0,19999.79,0.0000
1200,G03,10,0,0,DORMANT,LIN-001497,20,LIN-001494,19957.02,20,27,335,381,819,1,0,0,0,20000.00,0.0000
1200,G04,11,0,0,DORMANT,LIN-001712,9,LIN-001711,19982.99,9,4,577,590,610,0,0,0,0,20000.00,0.0000
1200,G05,39,1,1,ACTIVE,LIN-002003,34,LIN-002002,20000.00,34,1,9,1199,1,1,0,2,0,20000.00,0.0000
1200,G06,31,1,1,ACTIVE,LIN-001781,0,,47.34,1,56,428,734,466,1,0,467,55,48.17,0.1763
1200,G07,19,0,0,DORMANT,LIN-001898,14,LIN-001897,19994.23,14,89,756,942,258,0,0,0,0,20000.00,0.0000
1200,G08,12,0,0,DORMANT,LIN-001705,7,LIN-001703,19976.41,98,55,383,570,630,0,0,0,0,20000.00,0.0000
1200,G09,21,0,0,DORMANT,LIN-001780,13,LIN-001779,19939.74,13,70,567,731,469,0,0,0,0,19996.64,0.0000
1200,G11,33,1,1,ACTIVE,LIN-001886,21,LIN-001885,47.36,26,42,245,926,274,1,0,275,41,48.20,0.1763
1200,G12,38,1,1,ACTIVE,LIN-002001,25,LIN-001997,20000.00,25,5,19,1197,3,3,0,4,0,20000.00,0.0000
1200,G13,30,0,0,DORMANT,LIN-001747,0,,47.37,0,56,376,664,536,2,0,0,0,50.21,0.0000
1200,G14,23,1,1,ACTIVE,LIN-001458,0,,44.34,0,85,822,270,930,20,0,931,85,44.54,0.1778
1200,G16,13,0,0,DORMANT,LIN-001464,13,LIN-001462,19955.38,13,1,262,275,925,1,0,0,0,19993.74,0.0000
1200,G17,28,1,1,ACTIVE,LIN-001985,1,LIN-001977,48.06,6,97,626,1184,16,5,0,17,3,1221.95,0.1760
1200,G19,29,1,1,ACTIVE,LIN-001675,0,,47.34,0,92,565,543,657,8,0,658,92,48.17,0.1763
1200,G21,37,1,1,ACTIVE,LIN-001936,6,LIN-001935,44.52,7,13,128,1095,105,34,0,106,7,44.75,0.1777
1200,G22,27,1,1,ACTIVE,LIN-001485,0,,47.34,0,76,731,367,833,1,0,818,76,48.17,0.1763
1200,G24,36,1,1,ACTIVE,LIN-001916,7,LIN-001911,47.44,7,33,168,1055,145,1,0,146,25,48.27,0.1763
1200,G26,14,0,0,DORMANT,LIN-001448,3,LIN-001442,19799.43,3,2,119,123,1077,1,0,0,0,20000.00,0.0000
1200,G27,15,0,0,DORMANT,LIN-001510,9,LIN-001509,19963.45,23,37,334,411,789,0,0,0,0,19994.16,0.0000
