epoch,sat,constellation,residual_mm,S_phase_mm2,NIS,gate_mode,accepted,K_amb,clk_sigma_mm,amb_sigma_mm
329,E03,E,22.4516,300000374173.6035,1.68024489e-09,absolute,1,0.000000,547722.8975,77.0569
329,E05,E,11.1195,300000374026.0786,4.12140977e-10,absolute,1,0.000000,547722.8975,72.9788
329,E25,E,18.4250,300000374040.7611,1.13160558e-09,absolute,1,0.000000,547722.8975,74.0988
329,G07,G,18.5291,300000374078.4738,1.14442032e-09,absolute,1,0.000000,547722.8975,70.6764
329,G08,G,7.6008,300000374047.3724,1.92575665e-10,absolute,1,0.000000,547722.8975,69.7439
329,G09,G,6.8472,300000374021.6127,1.56281275e-10,absolute,1,0.000000,547722.8975,68.5260
329,G14,G,5.3242,300000374138.5559,9.44896981e-11,absolute,1,0.000000,547722.8975,77.5382
329,G27,G,-11.8166,300000373998.8533,4.65441179e-10,absolute,1,0.000000,547722.8975,71.0409
330,E03,E,17.8881,300000000136.9847,1.06660962e-09,absolute,1,0.000000,547722.5632,75.7210
330,E05,E,20.4499,300000000015.4405,1.39399001e-09,absolute,1,0.000000,547722.5632,72.5867
330,E25,E,23.3930,300000000015.7946,1.82410664e-09,absolute,1,0.000000,547722.5632,73.5053
330,G07,G,20.8548,300000000050.6691,1.44974344e-09,absolute,1,0.000000,547722.5632,69.8755
330,G08,G,17.1620,300000000018.5223,9.81775999e-10,absolute,1,0.000000,547722.5632,69.2748
330,G09,G,18.6689,300000000015.2056,1.16176421e-09,absolute,1,0.000000,547722.5632,68.1869
330,G14,G,27.9333,300000000100.5015,2.60090018e-09,absolute,1,0.000000,547722.5632,75.4206
330,G27,G,-5.6234,300000000052.5096,1.05407370e-10,absolute,1,0.000000,547722.5632,70.5580
332,G03,G,9.3593,300000374396.0341,2.91989128e-10,absolute,1,0.000000,547722.8972,68.3180
335,G27,G,35.6929,300000373767.2026,4.24660695e-09,absolute,1,0.000000,547722.8972,69.8928
336,E03,E,17.8892,300000000174.7202,1.06674067e-09,absolute,1,0.000000,547722.5629,74.2247
336,E05,E,-5.8957,300000000064.2561,1.15862809e-10,absolute,1,0.000000,547722.5629,71.5628
336,E25,E,-0.3930,300000000067.9639,5.14867732e-13,absolute,1,0.000000,547722.5629,72.3709
336,G03,G,-48.5244,300399996844.0964,7.83826114e-09,absolute,1,0.001332,547722.5629,19999.9987
336,G07,G,8.8038,300000000099.7825,2.58354988e-10,absolute,1,0.000000,547722.5629,68.7386
336,G08,G,-10.0265,300000000066.4033,3.35099328e-10,absolute,1,0.000000,547722.5629,68.3297
336,G09,G,-1.7301,300000000065.0001,9.97752183e-12,absolute,1,0.000000,547722.5629,67.2820
336,G14,G,-5.0483,300000000148.8312,8.49511456e-11,absolute,1,0.000000,547722.5629,73.6017
336,G27,G,-48.7902,300000000078.7140,7.93495316e-09,absolute,1,0.000000,547722.5629,69.6215
341,G03,G,-20.7412,300400370000.2379,1.43208083e-09,absolute,1,0.001332,547722.8955,20000.0000
341,G08,G,49.8392,300000371925.6159,8.27979889e-09,absolute,1,0.000000,547722.8955,67.8627
341,G27,G,49.5974,300000371913.5515,8.19966261e-09,absolute,1,0.000000,547722.8955,69.1367
347,G03,G,27.6692,300400370123.2421,2.54853841e-09,absolute,1,0.001332,547722.8955,20000.0000
349,G03,G,47.9279,300400370221.4896,7.64673228e-09,absolute,1,0.001332,547722.8956,20000.0000
353,E05,E,-33.7005,300000372359.1113,3.78573671e-09,absolute,1,0.000000,547722.8958,70.3858
