epoch,sod,sat,ki,alive_epochs,sigma_mm,accepted_phase_updates,rejected_phase_updates,phase_rows_present,phase_rows_missing,last_H_norm,participated_in_update,kalman_gain_norm,last_successful_update_epoch,epochs_since_last_accept,is_newborn,is_recently_reset
30,900.0,G26,10,30,137.4743,30,0,1,0,2.485251,0,0.000000,30,0,0,0
30,900.0,G27,11,30,172.6161,30,0,1,0,2.909151,0,0.000000,30,0,0,0
31,930.0,G01,5,31,173.7828,31,0,1,0,3.100806,0,0.000000,31,0,0,0
31,930.0,G03,6,31,89.6718,31,0,1,0,2.047764,0,0.000000,31,0,0,0
31,930.0,G04,7,31,153.3604,31,0,1,0,2.640537,0,0.000000,31,0,0,0
31,930.0,G16,9,31,86.7069,31,0,1,0,2.041108,0,0.000000,31,0,0,0
31,930.0,G26,10,31,131.3913,31,0,1,0,2.492150,0,0.000000,31,0,0,0
31,930.0,G27,11,31,165.5276,31,0,1,0,2.901692,0,0.000000,31,0,0,0
32,960.0,G01,5,32,167.6976,32,0,1,0,3.109589,0,0.000000,32,0,0,0
32,960.0,G03,6,32,85.8814,32,0,1,0,2.047148,0,0.000000,32,0,0,0
32,960.0,G04,7,32,146.5016,32,0,1,0,2.634409,0,0.000000,32,0,0,0
32,960.0,G16,9,32,82.9989,32,0,1,0,2.041690,0,0.000000,32,0,0,0
32,960.0,G26,10,32,126.0014,32,0,1,0,2.499158,0,0.000000,32,0,0,0
32,960.0,G27,11,32,159.1569,32,0,1,0,2.894306,0,0.000000,32,0,0,0
33,990.0,G01,5,33,162.2260,33,0,1,0,3.118456,0,0.000000,33,0,0,0
33,990.0,G03,6,33,83.1259,33,0,1,0,2.046547,0,0.000000,33,0,0,0
33,990.0,G04,7,33,141.7419,33,0,1,0,2.628331,0,0.000000,33,0,0,0
33,990.0,G16,9,33,80.5145,33,0,1,0,2.042287,0,0.000000,33,0,0,0
33,990.0,G26,10,33,122.0034,33,0,1,0,2.506278,0,0.000000,33,0,0,0
33,990.0,G27,11,33,153.3964,33,0,1,0,2.886993,0,0.000000,33,0,0,0
34,1020.0,G01,5,34,156.2435,34,0,1,0,3.127409,0,0.000000,34,0,0,0
34,1020.0,G03,6,34,79.9770,34,0,1,0,2.045963,0,0.000000,34,0,0,0
34,1020.0,G04,7,34,135.9043,34,0,1,0,2.622302,0,0.000000,34,0,0,0
34,1020.0,G08,8,1,7987.2969,10,0,1,0,3.370557,0,0.000000,34,0,0,0
34,1020.0,G16,9,34,77.3638,34,0,1,0,2.042900,0,0.000000,34,0,0,0
34,1020.0,G26,10,34,117.5514,34,0,1,0,2.513510,0,0.000000,34,0,0,0
34,1020.0,G27,11,34,146.7367,34,0,1,0,2.879750,0,0.000000,34,0,0,0
35,1050.0,G01,5,35,150.8610,35,0,1,0,3.136447,0,0.000000,35,0,0,0
35,1050.0,G03,6,35,77.1890,35,0,1,0,2.045393,0,0.000000,35,0,0,0
35,1050.0,G04,7,35,130.6508,35,0,1,0,2.616322,0,0.000000,35,0,0,0
35,1050.0,G08,8,2,3807.7237,11,0,1,0,3.355194,0,0.000000,35,0,0,0
35,1050.0,G16,9,35,74.5783,35,0,1,0,2.043529,0,0.000000,35,0,0,0
35,1050.0,G26,10,35,113.5531,35,0,1,0,2.520858,0,0.000000,35,0,0,0
35,1050.0,G27,11,35,140.7812,35,0,1,0,2.872579,0,0.000000,35,0,0,0
36,1080.0,G01,5,36,144.8344,36,0,1,0,3.145572,0,0.000000,36,0,0,0
36,1080.0,G03,6,36,74.6315,36,0,1,0,2.044839,0,0.000000,36,0,0,0
36,1080.0,G04,7,36,125.5807,36,0,1,0,2.610392,0,0.000000,36,0,0,0
36,1080.0,G08,8,3,2293.8726,12,0,1,0,3.340006,0,0.000000,36,0,0,0
36,1080.0,G16,9,36,71.9527,36,0,1,0,2.044174,0,0.000000,36,0,0,0
36,1080.0,G26,10,36,109.9193,36,0,1,0,2.528324,0,0.000000,36,0,0,0
36,1080.0,G27,11,36,135.0477,36,0,1,0,2.865479,0,0.000000,36,0,0,0
37,1110.0,G01,5,37,139.4459,37,0,1,0,3.154783,0,0.000000,37,0,0,0
37,1110.0,G03,6,37,72.3063,37,0,1,0,2.044301,0,0.000000,37,0,0,0
37,1110.0,G04,7,37,120.9658,37,0,1,0,2.604509,0,0.000000,37,0,0,0
37,1110.0,G08,8,4,1567.6506,13,0,1,0,3.324992,0,0.000000,37,0,0,0
37,1110.0,G16,9,37,69.5679,37,0,1,0,2.044835,0,0.000000,37,0,0,0
37,1110.0,G26,10,37,106.6004,37,0,1,0,2.535909,0,0.000000,37,0,0,0
37,1110.0,G27,11,37,129.8840,37,0,1,0,2.858448,0,0.000000,37,0,0,0
37,1110.0,G02,12,1,20000.0000,2,0,1,0,4.197031,0,0.000000,18,19,0,0
37,1110.0,G07,13,1,20000.0000,0,0,1,0,nan,0,0.000000,-1,37,0,0
38,1140.0,G01,5,38,134.5904,38,0,1,0,3.164083,0,0.000000,38,0,0,0
38,1140.0,G03,6,38,70.1806,38,0,1,0,2.043778,0,0.000000,38,0,0,0
38,1140.0,G04,7,38,116.7387,38,0,1,0,2.598675,0,0.000000,38,0,0,0
38,1140.0,G08,8,5,1156.6358,14,0,1,0,3.310151,0,0.000000,38,0,0,0
38,1140.0,G16,9,38,67.3890,38,0,1,0,2.045512,0,0.000000,38,0,0,0
38,1140.0,G26,10,38,103.5529,38,0,1,0,2.543616,0,0.000000,38,0,0,0
38,1140.0,G27,11,38,125.2013,38,0,1,0,2.851487,0,0.000000,38,0,0,0
38,1140.0,G02,12,2,20000.0000,2,0,1,0,4.197031,0,0.000000,18,20,0,0
38,1140.0,G07,13,2,20000.0000,0,0,1,0,nan,0,0.000000,-1,38,0,0
39,1170.0,G01,5,39,130.1859,39,0,1,0,3.173470,0,0.000000,39,0,0,0
39,1170.0,G03,6,39,68.2275,39,0,1,0,2.043270,0,0.000000,39,0,0,0
39,1170.0,G04,7,39,112.8450,39,0,1,0,2.592888,0,0.000000,39,0,0,0
39,1170.0,G08,8,6,898.3400,15,0,1,0,3.295480,0,0.000000,39,0,0,0
39,1170.0,G16,9,39,65.3879,39,0,1,0,2.046206,0,0.000000,39,0,0,0
39,1170.0,G26,10,39,100.7410,39,0,1,0,2.551447,0,0.000000,39,0,0,0
39,1170.0,G27,11,39,120.9289,39,0,1,0,2.844595,0,0.000000,39,0,0,0
39,1170.0,G02,12,3,20000.0000,2,0,1,0,4.197031,0,0.000000,18,21,0,0
39,1170.0,G07,13,3,20000.0000,0,0,1,0,nan,0,0.000000,-1,39,0,0
40,1200.0,G01,5,40,126.1674,40,0,1,0,3.182947,0,0.000000,40,0,0,0
40,1200.0,G03,6,40,66.4253,40,0,1,0,2.042777,0,0.000000,40,0,0,0
40,1200.0,G04,7,40,109.2405,40,0,1,0,2.587149,0,0.000000,40,0,0,0
40,1200.0,G08,8,7,723.9324,16,0,1,0,3.280976,0,0.000000,40,0,0,0
40,1200.0,G16,9,40,63.5418,40,0,1,0,2.046915,0,0.000000,40,0,0,0
40,1200.0,G26,10,40,98.1352,40,0,1,0,2.559405,0,0.000000,40,0,0,0
40,1200.0,G27,11,40,117.0102,40,0,1,0,2.837771,0,0.000000,40,0,0,0
40,1200.0,G02,12,4,20000.0000,2,0,1,0,4.197031,0,0.000000,18,22,0,0
40,1200.0,G07,13,4,20000.0000,0,0,1,0,nan,0,0.000000,-1,40,0,0
