SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,ISB_mm,CodeRMS_mm,PhsRMS_mm
1980.0,FWD,1337935.7988,6070317.8678,1427877.6780,1337935.5599,6070317.2377,1427877.5071,+238.947,+630.122,+170.853,-97.719,+16.226,+688.133,695.227,13,8,3,2.0909,0.0018,2.0926,+2823.152,1140.28,11.232
2010.0,FWD,1337935.7991,6070317.8587,1427877.6750,1337935.5599,6070317.2377,1427877.5071,+239.208,+620.993,+167.877,-99.939,+15.322,+678.832,686.321,13,8,3,2.0909,0.0019,2.0927,+2825.137,1168.06,10.746
2040.0,FWD,1337935.8003,6070317.8513,1427877.6720,1337935.5599,6070317.2377,1427877.5071,+240.438,+613.601,+164.937,-102.731,+14.025,+671.394,679.353,13,8,3,2.0909,0.0012,2.0921,+2827.464,1584.32,11.978
2070.0,FWD,1337935.7961,6070317.8525,1427877.6711,1337935.5599,6070317.2377,1427877.5071,+236.211,+614.770,+164.045,-98.352,+13.103,+671.419,678.711,13,8,3,2.0909,-0.0006,2.0903,+2828.553,1435.34,15.514
2100.0,FWD,1337935.7996,6070317.8473,1427877.6703,1337935.5599,6070317.2377,1427877.5071,+239.670,+609.551,+163.197,-102.852,+13.258,+666.988,675.002,13,8,3,2.0909,-0.0040,2.0869,+2830.899,1116.03,11.669
2130.0,FWD,1337935.8002,6070317.8356,1427877.6662,1337935.5599,6070317.2377,1427877.5071,+240.324,+597.937,+159.077,-105.991,+11.768,+655.147,663.770,13,8,3,2.0909,-0.0042,2.0867,+2833.096,1160.99,13.087
2160.0,FWD,1337935.8019,6070317.8253,1427877.6618,1337935.5599,6070317.2377,1427877.5071,+241.992,+587.590,+154.713,-109.847,+9.712,+644.669,654.032,14,8,3,2.0909,-0.0037,2.0872,+2834.800,925.58,12.261
2190.0,FWD,1337935.8037,6070317.8202,1427877.6596,1337935.5599,6070317.2377,1427877.5071,+243.761,+582.477,+152.534,-112.675,+8.628,+639.684,649.589,14,8,3,2.0909,-0.0042,2.0866,+2836.090,1230.28,8.023
2220.0,FWD,1337935.8065,6070317.8136,1427877.6587,1337935.5599,6070317.2377,1427877.5071,+246.563,+575.941,+151.601,-116.819,+9.021,+633.842,644.580,14,8,3,2.0909,-0.0051,2.0858,+2837.652,1395.93,8.223
2250.0,FWD,1337935.8116,6070317.8098,1427877.6590,1337935.5599,6070317.2377,1427877.5071,+251.677,+572.150,+151.889,-122.629,+9.888,+631.373,643.247,15,8,3,2.0909,-0.0057,2.0852,+2838.780,1148.76,9.254
2280.0,FWD,1337935.8078,6070317.8094,1427877.6572,1337935.5599,6070317.2377,1427877.5071,+247.935,+571.666,+150.065,-119.079,+8.399,+629.716,640.931,15,8,3,2.0909,-0.0074,2.0834,+2838.993,2164.68,6.130
2310.0,FWD,1337935.8044,6070317.8042,1427877.6541,1337935.5599,6070317.2377,1427877.5071,+244.540,+566.532,+146.968,-116.868,+6.675,+623.422,634.317,15,8,3,2.0909,-0.0069,2.0839,+2839.357,1967.65,9.885
2340.0,FWD,1337935.8034,6070317.7943,1427877.6503,1337935.5599,6070317.2377,1427877.5071,+243.492,+556.580,+143.185,-117.987,+5.230,+612.882,624.157,14,9,3,2.0909,-0.0033,2.0875,+2839.978,1467.64,14.292
2370.0,FWD,1337935.8018,6070317.7812,1427877.6452,1337935.5599,6070317.2377,1427877.5071,+241.852,+543.542,+138.103,-119.192,+3.227,+598.987,610.739,15,9,3,2.0909,-0.0023,2.0886,+2840.701,1585.12,14.460
2400.0,FWD,1337935.7976,6070317.7716,1427877.6403,1337935.5599,6070317.2377,1427877.5071,+237.736,+533.942,+133.206,-117.238,+0.769,+587.887,599.464,15,9,3,2.0909,-0.0024,2.0884,+2841.053,1340.96,14.678
2430.0,FWD,1337935.7970,6070317.7635,1427877.6372,1337935.5599,6070317.2377,1427877.5071,+237.125,+525.752,+130.071,-118.404,-0.454,+579.260,591.237,15,9,3,2.0909,-0.0014,2.0895,+2841.585,1138.03,14.910
2460.0,FWD,1337935.7949,6070317.7514,1427877.6328,1337935.5599,6070317.2377,1427877.5071,+234.974,+513.686,+125.698,-118.900,-1.956,+566.343,578.693,15,9,3,2.0909,0.0003,2.0912,+2842.272,1490.54,13.717
2490.0,FWD,1337935.7965,6070317.7360,1427877.6283,1337935.5599,6070317.2377,1427877.5071,+236.601,+498.323,+121.241,-123.796,-2.997,+551.063,564.806,14,9,3,2.0909,0.0013,2.0922,+2843.704,1276.62,15.864
2520.0,FWD,1337935.8032,6070317.7136,1427877.6218,1337935.5599,6070317.2377,1427877.5071,+243.255,+475.868,+114.727,-135.128,-4.725,+529.626,546.613,14,9,3,2.0909,0.0046,2.0954,+2846.309,1365.09,19.452
2550.0,FWD,1337935.8103,6070317.7037,1427877.6209,1337935.5599,6070317.2377,1427877.5071,+250.434,+465.960,+113.783,-144.271,-3.813,+521.492,541.094,14,9,3,2.0909,0.0053,2.0962,+2848.035,1735.63,15.234
2580.0,FWD,1337935.8168,6070317.7085,1427877.6253,1337935.5599,6070317.2377,1427877.5071,+256.919,+470.786,+118.183,-149.565,-0.903,+528.435,549.194,14,9,3,2.0909,0.0018,2.0927,+2848.933,2189.79,12.791
2610.0,FWD,1337935.8246,6070317.7088,1427877.6282,1337935.5599,6070317.2377,1427877.5071,+264.707,+471.095,+121.091,-157.104,+1.485,+531.017,553.772,14,9,3,2.0909,-0.0041,2.0867,+2850.319,1520.04,14.488
2640.0,FWD,1337935.8341,6070317.7079,1427877.6319,1337935.5599,6070317.2377,1427877.5071,+274.185,+470.216,+124.831,-166.549,+4.862,+533.012,558.447,14,9,3,2.0909,-0.0090,2.0819,+2851.835,1848.74,14.909
2670.0,FWD,1337935.8421,6070317.7070,1427877.6347,1337935.5599,6070317.2377,1427877.5071,+282.235,+469.337,+127.583,-174.599,+7.347,+534.483,562.326,14,9,3,2.0909,-0.0096,2.0813,+2853.344,1028.01,15.688
2700.0,FWD,1337935.8501,6070317.7041,1427877.6375,1337935.5599,6070317.2377,1427877.5071,+290.185,+466.385,+130.368,-182.998,+10.324,+533.969,564.551,14,9,3,2.0909,-0.0106,2.0803,+2855.021,1166.76,15.630
2730.0,FWD,1337935.8554,6070317.6962,1427877.6377,1337935.5599,6070317.2377,1427877.5071,+295.503,+458.496,+130.617,-189.889,+12.045,+527.635,560.893,14,8,3,2.0909,-0.0109,2.0799,+2856.819,1705.00,11.723
2760.0,FWD,1337935.8608,6070317.6853,1427877.6365,1337935.5599,6070317.2377,1427877.5071,+300.894,+447.619,+129.412,-197.495,+13.003,+518.145,554.660,14,8,3,2.0909,-0.0117,2.0792,+2858.679,1261.21,13.145
2790.0,FWD,1337935.8606,6070317.6737,1427877.6322,1337935.5599,6070317.2377,1427877.5071,+300.690,+436.022,+125.129,-199.793,+11.392,+506.103,544.231,14,8,3,2.0909,-0.0095,2.0814,+2860.107,1451.82,11.584
