epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
73,2190.0,-0.980543,0.397224,1.316332,-1359.4182,131.6012,21.2996,187.9012,2.0548,9.7905e+01,132.2011,100.9068,16.9639,7640.52,55.59,28284.27,70.6382,1565.1459
74,2220.0,-0.965894,0.426143,1.321768,-1283.4137,136.9424,32.8698,76.0046,5.3412,9.6330e+01,130.8337,100.1516,16.9496,7638.17,54.81,28284.27,51.1296,1858.7028
75,2250.0,-0.961926,0.411020,1.309645,-1151.8941,136.8872,19.7837,131.5196,0.0551,9.5074e+01,129.3797,99.1568,16.9241,8872.50,54.05,28284.27,79.1032,1411.5198
76,2280.0,-1.002364,0.387695,1.284894,-1078.8921,132.2019,52.8384,73.0020,4.6854,9.3704e+01,127.9656,98.3043,16.8980,7517.11,53.31,28284.27,33.8287,2560.6926
77,2310.0,-1.022982,0.367434,1.274352,-875.6235,134.3109,30.7695,203.2687,2.1090,8.8285e+01,126.6443,99.9466,16.8786,7170.57,52.68,28284.27,115.3073,2044.8941
78,2340.0,-1.037564,0.349263,1.273634,-1134.8882,134.1358,23.3095,259.2647,0.1751,9.0815e+01,125.3235,96.7696,16.8592,4689.45,51.98,20000.00,38.6419,1496.0277
79,2370.0,-1.035693,0.307654,1.276375,-1325.8434,132.0373,41.7409,190.9552,2.0985,8.9590e+01,124.0375,95.9148,16.8344,4624.48,51.29,20000.00,38.0940,1862.5740
80,2400.0,-1.054018,0.306245,1.268606,-1005.8330,134.9637,19.9535,320.0104,2.9264,7.8179e+01,122.9696,105.1368,16.8749,4588.07,50.80,20000.00,225.7442,1592.4577
81,2430.0,-1.051360,0.285697,1.266066,-1009.4682,133.6988,20.8746,3.6352,1.2649,8.6428e+01,121.7259,94.6109,16.8276,4564.26,50.14,20000.00,41.9143,1050.8847
82,2460.0,-1.071506,0.273880,1.261335,-1000.2893,132.0105,23.8300,9.1789,1.6883,8.5838e+01,120.5140,93.6473,16.7830,2384.97,49.49,20000.00,36.9490,1509.6872
