SOD,sat,d_wl,wl_residual_raw,wl_residual_corrected,wl_std,wl_fixable_before,wl_fixable_after
14610,E02,0.089185,0.117744,0.028828,0.317847,1,1
14610,E03,0.006021,0.040402,0.034768,0.356718,1,1
14640,E02,0.089480,0.121594,0.032408,0.321425,1,1
14640,E03,0.006421,0.042208,0.036186,0.356633,1,1
14670,E02,0.089797,0.125076,0.035596,0.324179,1,1
14670,E03,0.006826,0.043239,0.036818,0.355976,1,1
14700,E02,0.090129,0.127446,0.037649,0.325002,1,1
14700,E03,0.007227,0.043380,0.036554,0.355048,1,1
14730,E02,0.090469,0.128850,0.038721,0.324749,1,1
14730,E03,0.007622,0.043394,0.036167,0.354122,1,1
14760,E02,0.090818,0.130183,0.039714,0.324447,1,1
14760,E03,0.008017,0.043817,0.036195,0.353253,1,1
14790,E02,0.091161,0.130006,0.039188,0.323628,1,1
14790,E03,0.008423,0.045593,0.037577,0.353204,1,1
14820,E02,0.091489,0.128660,0.037498,0.323355,1,1
14820,E03,0.008840,0.047223,0.038800,0.353027,1,1
14850,E02,0.091805,0.127652,0.036163,0.322847,1,1
14850,E03,0.009265,0.048702,0.039862,0.352730,1,1
14880,E02,0.092097,0.125427,0.033622,0.323554,1,1
14880,E03,0.009689,0.049104,0.039838,0.351879,1,1
14910,E02,0.092359,0.122792,0.030696,0.324877,1,1
14910,E03,0.010112,0.049459,0.039769,0.351025,1,1
14940,E02,0.092605,0.121190,0.028831,0.324859,1,1
14940,E03,0.010527,0.049344,0.039233,0.350145,1,1
14970,E02,0.092845,0.120750,0.028145,0.324114,1,1
14970,E03,0.010933,0.048934,0.038407,0.349317,1,1
15000,E02,0.093074,0.119744,0.026899,0.323631,1,1
15000,E03,0.011326,0.048300,0.037367,0.348562,1,1
15000,E09,-0.083043,-0.778223,-0.820317,0.323876,0,0
15030,E02,0.093310,0.120839,0.027765,0.323213,1,1
15030,E03,0.011707,0.047649,0.036323,0.347821,1,1
15030,E09,-0.176744,-0.780930,-0.697886,0.321256,0,0
15060,E02,0.093547,0.121229,0.027919,0.322472,1,1
15060,E03,0.012083,0.047618,0.035911,0.346963,1,1
15060,E09,-0.245063,-0.795204,-0.618461,0.334085,0,0
15090,E02,0.093786,0.121619,0.028071,0.321737,1,1
15090,E03,0.012462,0.048418,0.036335,0.346300,1,1
15090,E09,-0.299754,-0.804263,-0.559200,0.337303,1,0
15120,E02,0.094043,0.124298,0.030511,0.323253,1,1
15120,E03,0.012832,0.048008,0.035546,0.345504,1,1
15120,E09,-0.263662,0.174671,0.474425,0.367679,1,0
15150,E02,0.094315,0.126840,0.032797,0.324543,1,1
15150,E03,0.013200,0.048335,0.035503,0.344696,1,1
15150,E09,-0.236342,0.157649,0.421311,0.385195,1,0
15180,E02,0.094596,0.128273,0.033958,0.324425,1,1
15180,E03,0.013571,0.049022,0.035821,0.344004,1,1
15180,E09,-0.215369,0.139905,0.376247,0.403785,1,0
15210,E02,0.094862,0.126859,0.032263,0.324296,1,1
15210,E03,0.013940,0.049364,0.035793,0.343211,1,1
15210,E09,-0.197715,0.128193,0.343562,0.409712,1,0
15240,E02,0.095110,0.125010,0.030148,0.324635,1,1
15240,E03,0.014304,0.049292,0.035352,0.342390,1,1
15240,E09,-0.181781,0.124365,0.322080,0.407192,1,0
15270,E02,0.095349,0.124256,0.029147,0.324053,1,1
15270,E03,0.014675,0.050521,0.036217,0.342036,1,1
15270,E09,-0.167414,0.119938,0.301720,0.405131,1,0
15300,E02,0.095581,0.123617,0.028269,0.323425,1,1
15300,E03,0.015048,0.051204,0.036529,0.341368,1,1
15300,E09,-0.154144,0.119734,0.287147,0.401744,1,0
15330,E02,0.095795,0.121886,0.026305,0.323657,1,1
15330,E03,0.015426,0.052169,0.037121,0.340850,1,1
15330,E09,-0.142290,0.113537,0.267681,0.401318,1,0
15360,E02,0.096006,0.121523,0.025728,0.322947,1,1
15360,E03,0.015805,0.052777,0.037352,0.340165,1,1
15360,E09,-0.131313,0.112543,0.254834,0.398144,1,0
15390,E02,0.096217,0.121875,0.025869,0.322240,1,1
15390,E03,0.016183,0.053178,0.037374,0.339419,1,1
15420,E02,0.096439,0.123444,0.027227,0.322323,1,1
15420,E03,0.016558,0.053282,0.037099,0.338632,1,1
15450,E02,0.096672,0.125183,0.028744,0.322601,1,1
15450,E03,0.016929,0.053381,0.036824,0.337851,1,1
15480,E02,0.096905,0.125391,0.028719,0.321879,1,1
15480,E03,0.017301,0.053937,0.037009,0.337171,1,1
15510,E02,0.097141,0.125993,0.029088,0.321270,1,1
15510,E03,0.017671,0.054237,0.036936,0.336425,1,1
15540,E02,0.097380,0.126539,0.029397,0.320644,1,1
15540,E03,0.018044,0.054873,0.037202,0.335788,1,1
15570,E02,0.097620,0.126945,0.029565,0.319978,1,1
15570,E03,0.018412,0.054887,0.036844,0.335024,1,1
15600,E02,0.097859,0.126996,0.029376,0.319261,1,1
15600,E03,0.018771,0.054517,0.036106,0.334310,1,1
15630,E02,0.098093,0.126567,0.028707,0.318612,1,1
15630,E03,0.019132,0.055033,0.036262,0.333644,1,1
15660,E02,0.098322,0.126143,0.028050,0.317967,1,1
15660,E03,0.019502,0.056687,0.037555,0.333807,1,1
15690,E02,0.098547,0.125989,0.027667,0.317271,1,1
15690,E03,0.019873,0.057177,0.037675,0.333141,1,1
15720,E02,0.098779,0.126914,0.028366,0.316876,1,1
