SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
840.0,G26,529.6661,794.4992,17.6555,21.1866,34.50,98.24,165.02
840.0,G27,708.6889,1063.0334,23.6230,28.3476,25.04,404.79,403.97
840.0,G31,842.8375,1264.2563,28.0946,33.7135,20.85,23.63,140.03
870.0,G01,767.7320,1151.5980,25.5911,30.7093,23.00,-2084.46,-315.92
870.0,G03,328.4767,492.7150,10.9492,13.1391,65.97,-153.32,-156.19
870.0,G04,603.9016,905.8523,20.1301,24.1561,29.79,17.86,-168.93
870.0,G16,323.3572,485.0359,10.7786,12.9343,68.09,-217.39,-126.56
870.0,G26,532.4880,798.7319,17.7496,21.2995,34.29,634.86,-169.28
870.0,G27,705.8297,1058.7446,23.5277,28.2332,25.15,-340.92,78.69
870.0,G31,847.7734,1271.6601,28.2591,33.9109,20.72,302.67,-214.96
900.0,G01,770.8873,1156.3310,25.6962,30.8355,22.90,-1103.74,-73.37
900.0,G03,328.1122,492.1683,10.9371,13.1245,66.11,60.69,155.44
900.0,G04,601.4167,902.1250,20.0472,24.0567,29.92,839.99,138.92
900.0,G16,323.6704,485.5055,10.7890,12.9468,67.95,272.97,200.66
900.0,G26,535.3469,803.0203,17.8449,21.4139,34.08,1050.42,178.44
900.0,G27,702.9944,1054.4916,23.4331,28.1198,25.26,-191.47,379.80
900.0,G31,852.7545,1279.1318,28.4252,34.1102,20.60,686.99,96.09
930.0,G01,774.0694,1161.1041,25.8023,30.9628,22.80,28.10,-342.31
930.0,G03,327.7564,491.6345,10.9252,13.1103,66.25,-189.68,-309.91
930.0,G04,598.9477,898.4216,19.9649,23.9579,30.06,412.88,-279.86
930.0,G16,323.9921,485.9881,10.7997,12.9597,67.81,-38.97,-234.34
930.0,G26,538.2435,807.3652,17.9414,21.5297,33.87,361.87,-208.82
930.0,G27,700.1830,1050.2745,23.3394,28.0073,25.37,-1479.97,-89.79
