epoch,sat,sys,sigma_N1_m,range_100,corr_frac,frac_std,selected,reason
356,E09,E,0.069,5.508,0.2148,0.0032,0,buf_n
356,E16,E,0.05,4.903,0.4986,0.0068,0,buf_n
356,E25,E,0.075,2.768,-0.3364,0.0287,0,buf_n
356,SUMMARY,,,,,,0,"GPS=0,GAL=0"
357,E05,E,0.052,2.714,-0.1324,0.0272,0,buf_n
357,E09,E,0.069,5.508,0.21,0.0036,0,buf_n
357,E16,E,0.05,5.053,0.4963,0.0074,0,buf_n
357,E25,E,0.075,2.768,-0.3211,0.037,0,buf_n
357,SUMMARY,,,,,,0,"GPS=0,GAL=0"
358,E05,E,0.051,2.458,-0.1275,0.0299,0,buf_n
358,E09,E,0.069,5.508,0.2097,0.0037,0,buf_n
358,E16,E,0.05,4.983,0.4906,0.0071,0,buf_n
358,E25,E,0.075,2.785,-0.32,0.0405,0,buf_n
358,SUMMARY,,,,,,0,"GPS=0,GAL=0"
359,E05,E,0.051,2.497,-0.1289,0.0309,0,buf_n
359,E09,E,0.069,5.626,0.206,0.0044,0,buf_n
359,E16,E,0.05,4.943,0.4849,0.0067,0,buf_n
359,E25,E,0.075,2.826,-0.3196,0.0421,0,buf_n
359,SUMMARY,,,,,,0,"GPS=0,GAL=0"
360,E05,E,0.051,2.497,-0.1314,0.031,0,buf_n
360,E16,E,0.05,5.097,0.4766,0.0071,0,buf_n
360,E25,E,0.074,2.921,-0.3093,0.0439,0,buf_n
360,SUMMARY,,,,,,0,"GPS=0,GAL=0"
361,E05,E,0.051,2.694,-0.1474,0.0298,0,buf_n
361,E16,E,0.05,5.292,0.463,0.0094,0,buf_n
361,E25,E,0.074,2.856,-0.3171,0.0439,0,buf_n
361,SUMMARY,,,,,,0,"GPS=0,GAL=0"
362,E05,E,0.051,2.694,-0.1614,0.0285,0,buf_n
362,E16,E,0.05,5.324,0.4534,0.0123,0,buf_n
362,E25,E,0.074,2.664,-0.3283,0.0429,0,buf_n
362,SUMMARY,,,,,,0,"GPS=0,GAL=0"
363,E05,E,0.051,2.69,-0.1649,0.0274,0,buf_n
363,E16,E,0.05,5.29,0.4489,0.0146,0,buf_n
363,E25,E,0.074,2.664,-0.3304,0.0418,0,buf_n
363,SUMMARY,,,,,,0,"GPS=0,GAL=0"
364,E05,E,0.051,2.69,-0.1585,0.0265,0,buf_n
364,E16,E,0.05,5.088,0.4467,0.0163,0,buf_n
364,E25,E,0.074,2.646,-0.3169,0.0415,0,buf_n
364,SUMMARY,,,,,,0,"GPS=0,GAL=0"
365,E05,E,0.051,2.686,-0.143,0.0259,0,buf_n
365,E16,E,0.05,5.044,-0.0302,0.0177,0,res_thresh
365,E25,E,0.073,2.595,-0.2855,0.0434,0,buf_n
365,SUMMARY,,,,,,0,"GPS=0,GAL=0"
366,E05,E,0.051,2.642,0.029,0.0261,1,ok
366,E16,E,0.05,5.264,-0.0309,0.0189,0,res_thresh
366,E25,E,0.073,2.595,-0.2594,0.0471,0,buf_n
366,SUMMARY,,,,,,1,"GPS=0,GAL=1"
367,E16,E,0.035,5.477,0.0737,0.0253,0,frac
367,E25,E,0.055,2.636,-0.1871,0.0585,0,buf_n
367,SUMMARY,,,,,,0,"GPS=0,GAL=1"
368,E16,E,0.035,5.477,0.066,0.0288,0,frac
368,E25,E,0.055,2.764,-0.1956,0.065,0,buf_n
368,SUMMARY,,,,,,0,"GPS=0,GAL=1"
369,E16,E,0.035,5.477,0.0565,0.0307,0,frac
369,E25,E,0.054,2.674,-0.1939,0.0697,0,buf_n
369,SUMMARY,,,,,,0,"GPS=0,GAL=1"
