epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
501,15030.0,E16,E,13287.0985,22.666388,0.0000,0.0000,22.450,20000.0000,nan,nan,1,0,158
501,15030.0,G02,G,-8197.0332,-41.734337,0.0000,0.0000,22.048,19941.7838,nan,1.0000,31,1,159
501,15030.0,G08,G,4475.6723,-6.676902,0.0000,0.0000,29.076,20000.0000,nan,nan,1,0,160
502,15060.0,E16,E,13357.1348,22.711988,0.0000,0.0000,22.335,20000.0000,nan,nan,1,0,161
502,15060.0,G08,G,4535.9415,-6.418960,0.0000,0.0000,28.874,20000.0000,nan,nan,1,0,162
503,15090.0,G08,G,4590.5018,-6.922512,0.0000,0.0000,28.673,20000.0000,nan,nan,1,0,163
504,15120.0,E16,E,13492.8076,22.892580,0.0000,0.0000,22.106,20000.0000,nan,1.0000,2,0,164
504,15120.0,G01,G,-9346.1627,-43.658307,0.0000,0.0000,20.694,19992.7339,nan,nan,13,0,165
504,15120.0,G08,G,4646.4133,-7.552126,0.0000,0.0000,28.472,20000.0000,nan,nan,1,0,166
505,15150.0,E16,E,13571.9036,22.913713,0.0000,0.0000,21.993,20000.0000,nan,nan,1,0,167
505,15150.0,G08,G,4701.5921,-7.613156,0.0000,0.0000,28.271,20000.0000,nan,nan,1,0,168
506,15180.0,E16,E,13654.7657,22.911686,0.0000,0.0000,21.879,20000.0000,nan,nan,1,0,169
506,15180.0,G08,G,4762.4480,-6.439287,0.0000,0.0000,28.069,20000.0000,nan,nan,1,0,170
507,15210.0,E16,E,13734.6080,22.691201,0.0000,0.0000,21.766,20000.0000,nan,nan,1,0,171
507,15210.0,G08,G,4823.3515,-6.773636,0.0000,0.0000,27.868,20000.0000,nan,nan,1,0,172
508,15240.0,E16,E,13801.6096,21.858659,0.0000,0.0000,21.654,20000.0000,nan,nan,1,0,173
508,15240.0,G08,G,4881.7558,-6.982051,0.0000,0.0000,27.667,20000.0000,nan,nan,1,0,174
509,15270.0,E16,E,13870.5786,21.716433,0.0000,0.0000,21.542,20000.0000,nan,nan,1,0,175
509,15270.0,G08,G,4940.5058,-7.736696,0.0000,0.0000,27.465,20000.0000,nan,nan,1,0,176
510,15300.0,E16,E,13952.1716,22.035337,0.0000,0.0000,21.430,20000.0000,nan,nan,1,0,177
510,15300.0,G08,G,5004.1051,-7.055097,0.0000,0.0000,27.264,20000.0000,nan,nan,1,0,178
511,15330.0,E16,E,14032.0833,22.475171,0.0000,0.0000,21.318,20000.0000,nan,nan,1,0,179
511,15330.0,G08,G,5065.0689,-6.674289,0.0000,0.0000,27.063,20000.0000,nan,nan,1,0,180
512,15360.0,E16,E,14100.4468,22.295324,0.0000,0.0000,21.207,20000.0000,nan,nan,1,0,181
512,15360.0,G08,G,5128.5509,-6.168688,0.0000,0.0000,26.861,20000.0000,nan,nan,1,0,182
513,15390.0,E09,E,1730.8666,-9.099855,0.0000,0.0000,23.130,176.3305,32.7869,0.8000,63,1,183
513,15390.0,E16,E,14188.4683,22.519581,0.0000,0.0000,21.097,20000.0000,nan,nan,1,0,184
513,15390.0,G08,G,5188.1286,-5.960940,0.0000,0.0000,26.660,20000.0000,nan,nan,1,0,185
514,15420.0,E16,E,14267.8688,22.419444,0.0000,0.0000,20.986,20000.0000,nan,nan,1,0,186
514,15420.0,G08,G,5257.0847,-6.209497,0.0000,0.0000,26.459,20000.0000,nan,nan,1,0,187
515,15450.0,E16,E,14343.1672,22.024209,0.0000,0.0000,20.876,20000.0000,nan,nan,1,0,188
515,15450.0,G01,G,-9369.0392,-45.021168,0.0000,0.0000,21.665,58.1369,34.1587,0.8000,11,1,189
515,15450.0,G08,G,5320.2210,-6.173645,0.0000,0.0000,26.258,20000.0000,nan,nan,1,0,190
516,15480.0,E16,E,14425.5130,21.926378,0.0000,0.0000,20.767,20000.0000,nan,nan,1,0,191
516,15480.0,G08,G,5386.4242,-5.987520,0.0000,0.0000,26.056,20000.0000,nan,nan,1,0,192
517,15510.0,E16,E,14513.6753,22.205913,0.0000,0.0000,20.657,20000.0000,nan,nan,1,0,193
517,15510.0,G08,G,5442.7987,-6.444564,0.0000,0.0000,25.855,20000.0000,nan,nan,1,0,194
518,15540.0,E16,E,14598.8491,22.318427,0.0000,0.0000,20.549,20000.0000,nan,nan,1,0,195
518,15540.0,G01,G,-9373.9710,-44.164052,0.0000,0.0000,21.929,623.1634,38.7928,0.5000,3,0,196
518,15540.0,G08,G,5510.3307,-6.663468,0.0000,0.0000,25.654,20000.0000,nan,nan,1,0,197
519,15570.0,E09,E,1997.4184,-8.754233,0.0000,0.0000,22.168,20000.0000,nan,1.0000,6,1,198
519,15570.0,E16,E,14682.7073,22.915841,0.0000,0.0000,20.440,20000.0000,nan,nan,1,0,199
519,15570.0,G08,G,5577.0318,-6.951417,0.0000,0.0000,25.453,20000.0000,nan,nan,1,0,200
520,15600.0,E16,E,14764.4757,22.928637,0.0000,0.0000,20.332,20000.0000,nan,nan,1,0,201
520,15600.0,G08,G,5639.6099,-7.662735,0.0000,0.0000,25.252,20000.0000,nan,nan,1,0,202
521,15630.0,E16,E,14842.3902,22.769870,0.0000,0.0000,20.224,20000.0000,nan,nan,1,0,203
521,15630.0,G08,G,5708.3471,-6.760071,0.0000,0.0000,25.051,20000.0000,nan,nan,1,0,204
522,15660.0,E16,E,14932.3280,22.626393,0.0000,0.0000,20.117,20000.0000,nan,nan,1,0,205
522,15660.0,G08,G,5773.7511,-6.640063,0.0000,0.0000,24.851,20000.0000,nan,nan,1,0,206
523,15690.0,E09,E,2177.3783,-8.137053,0.0000,0.0000,21.525,20000.0000,nan,1.0000,4,1,207
523,15690.0,E16,E,15015.8305,22.203579,0.0000,0.0000,20.010,20000.0000,nan,nan,1,0,208
523,15690.0,G08,G,5843.1892,-7.149464,0.0000,0.0000,24.650,20000.0000,nan,nan,1,0,209
524,15720.0,E16,E,15098.7489,22.748685,0.0000,0.0000,19.903,20000.0000,nan,nan,1,0,210
524,15720.0,G02,G,-7853.0203,-39.514737,0.0000,0.0000,22.663,19976.2035,nan,1.0000,23,1,211
524,15720.0,G08,G,5912.5576,-7.437087,0.0000,0.0000,24.449,20000.0000,nan,nan,1,0,212
525,15750.0,E09,E,2256.2492,-7.531853,0.0000,0.0000,21.204,20000.0000,nan,1.0000,2,0,213
525,15750.0,E16,E,15199.5483,22.749759,0.0000,0.0000,19.797,20000.0000,nan,nan,1,0,214
525,15750.0,G08,G,5985.2435,-7.476645,0.0000,0.0000,24.249,20000.0000,nan,nan,1,0,215
526,15780.0,E16,E,15281.5599,22.772029,0.0000,0.0000,19.691,20000.0000,nan,nan,1,0,216
526,15780.0,G08,G,6054.7863,-7.765113,0.0000,0.0000,24.048,20000.0000,nan,nan,1,0,217
527,15810.0,E16,E,15373.6190,22.534191,0.0000,0.0000,19.586,20000.0000,nan,nan,1,0,218
