epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
187,5610.0,G04,DEGRADED,4620.0,0,4,0.173704,24.082,55.978,1,0
187,5610.0,G07,DEGRADED,2460.0,0,4,0.210861,19.799,20.167,1,4
188,5640.0,G03,DEGRADED,4650.0,0,5,0.182326,-7.898,53.279,1,0
188,5640.0,G04,DEGRADED,4650.0,0,5,0.170356,23.301,56.165,1,0
188,5640.0,G07,DEGRADED,2490.0,0,5,0.205764,11.729,20.213,1,4
189,5670.0,G03,DEGRADED,4680.0,0,6,0.178707,-17.992,53.069,1,0
189,5670.0,G04,DEGRADED,4680.0,0,6,0.167196,8.693,56.352,1,0
189,5670.0,G07,DEGRADED,2520.0,0,6,0.201167,-0.346,20.259,1,4
190,5700.0,G03,DEGRADED,4710.0,0,7,0.178657,78.189,52.859,1,0
190,5700.0,G04,DEGRADED,4710.0,0,7,0.167196,96.434,56.539,1,0
190,5700.0,G07,DEGRADED,2550.0,0,7,0.201013,109.205,20.305,1,4
191,5730.0,G03,DEGRADED,4740.0,1,0,0.178657,601.025,52.649,1,0
191,5730.0,G04,DEGRADED,4740.0,1,0,0.167196,612.732,56.727,1,0
191,5730.0,G07,DEGRADED,2580.0,1,0,0.201013,617.895,20.351,1,4
192,5760.0,G03,DEGRADED,4770.0,0,1,0.175817,-20.823,52.439,1,0
192,5760.0,G04,DEGRADED,4770.0,0,1,0.164235,-2.876,56.914,1,0
192,5760.0,G07,DEGRADED,2610.0,0,1,0.198364,6.767,20.397,1,4
193,5790.0,G03,DEGRADED,4800.0,1,0,0.175817,685.182,52.228,1,0
193,5790.0,G04,DEGRADED,4800.0,1,0,0.164235,702.217,57.101,1,0
193,5790.0,G07,DEGRADED,2640.0,1,0,0.198364,732.051,20.443,1,4
194,5820.0,G03,DEGRADED,4830.0,0,1,0.175766,-82.153,52.018,1,0
194,5820.0,G04,DEGRADED,4830.0,0,1,0.164234,-76.765,57.288,1,0
194,5820.0,G07,DEGRADED,2670.0,0,1,0.198210,-42.803,20.489,1,4
195,5850.0,G03,DEGRADED,4860.0,0,2,0.169648,-4.433,51.807,1,0
195,5850.0,G04,DEGRADED,4860.0,0,2,0.158617,0.047,57.475,1,0
195,5850.0,G07,DEGRADED,2700.0,0,2,0.190977,14.871,20.535,1,4
196,5880.0,G03,DEGRADED,4890.0,0,3,0.166572,5.573,51.596,1,0
196,5880.0,G04,DEGRADED,4890.0,0,3,0.156040,0.633,57.662,1,0
196,5880.0,G07,DEGRADED,2730.0,0,3,0.186888,24.681,20.582,1,4
197,5910.0,G03,DEGRADED,4920.0,0,4,0.166534,-1.644,51.385,1,0
197,5910.0,G04,DEGRADED,4920.0,0,4,0.156040,-1.138,57.849,1,0
197,5910.0,G07,DEGRADED,2760.0,0,4,0.186769,14.846,20.628,1,4
198,5940.0,G03,DEGRADED,4950.0,1,0,0.166496,-173.239,51.173,1,0
198,5940.0,G04,DEGRADED,4950.0,1,0,0.156039,-179.586,58.036,1,0
198,5940.0,G07,DEGRADED,2790.0,1,0,0.186653,-171.157,20.674,1,4
199,5970.0,G03,DEGRADED,4980.0,2,0,0.166458,-226.355,50.962,1,0
199,5970.0,G04,DEGRADED,4980.0,2,0,0.156039,-228.276,58.223,1,0
199,5970.0,G07,DEGRADED,2820.0,2,0,0.186539,-223.576,20.720,1,4
200,6000.0,G03,DEGRADED,5010.0,0,1,0.163494,9.044,50.750,1,0
200,6000.0,G04,DEGRADED,5010.0,0,1,0.153593,10.875,58.410,1,0
200,6000.0,G07,DEGRADED,2850.0,0,1,0.182909,17.450,20.767,1,4
201,6030.0,G03,DEGRADED,5040.0,1,0,0.163460,-550.616,50.539,1,0
201,6030.0,G04,DEGRADED,5040.0,1,0,0.153593,-542.053,58.597,1,0
201,6030.0,G07,DEGRADED,2880.0,1,0,0.182806,-540.157,20.813,1,4
202,6060.0,G03,DEGRADED,5070.0,2,0,0.163460,-552.849,50.327,1,0
202,6060.0,G04,DEGRADED,5070.0,2,0,0.153593,-543.475,58.783,1,0
202,6060.0,G07,DEGRADED,2910.0,2,0,0.182806,-545.758,20.860,1,4
203,6090.0,G03,DEGRADED,5100.0,0,1,0.163427,-129.741,50.115,1,0
203,6090.0,G04,DEGRADED,5100.0,0,1,0.153593,-119.850,58.970,1,0
203,6090.0,G07,DEGRADED,2940.0,0,1,0.182705,-115.146,20.906,1,4
204,6120.0,G03,DEGRADED,5130.0,1,0,0.163395,-444.609,49.903,1,0
204,6120.0,G04,DEGRADED,5130.0,1,0,0.153592,-432.948,59.156,1,0
204,6120.0,G07,DEGRADED,2970.0,1,0,0.182605,-421.953,20.953,1,4
205,6150.0,G03,DEGRADED,5160.0,2,0,0.163395,-840.642,49.691,1,0
205,6150.0,G04,DEGRADED,5160.0,2,0,0.153592,-832.497,59.342,1,0
205,6150.0,G07,DEGRADED,3000.0,2,0,0.182605,-809.443,20.999,1,4
206,6180.0,G03,DEGRADED,5190.0,3,0,0.163395,-778.071,49.479,1,0
206,6180.0,G04,DEGRADED,5190.0,3,0,0.153592,-763.835,59.529,1,0
206,6180.0,G07,DEGRADED,3030.0,3,0,0.182605,-724.614,21.046,1,4
207,6210.0,G03,DEGRADED,5220.0,4,0,0.163395,-898.747,49.267,1,0
207,6210.0,G04,DEGRADED,5220.0,4,0,0.153592,-882.131,59.714,1,0
207,6210.0,G07,DEGRADED,3060.0,4,0,0.182605,-844.209,21.093,1,4
208,6240.0,G03,DEGRADED,5250.0,5,0,0.163395,-1137.360,49.055,1,0
208,6240.0,G04,DEGRADED,5250.0,5,0,0.153592,-1116.359,59.900,1,0
208,6240.0,G07,DEGRADED,3090.0,5,0,0.182605,-1087.318,21.139,1,4
209,6270.0,G03,DEGRADED,5280.0,6,0,0.163395,-644.729,48.843,1,0
209,6270.0,G04,DEGRADED,5280.0,6,0,0.153592,-623.815,60.086,1,0
209,6270.0,G07,DEGRADED,3120.0,6,0,0.182605,-600.735,21.186,1,4
210,6300.0,G03,DEGRADED,5310.0,7,0,0.163395,-992.833,48.631,1,0
210,6300.0,G04,DEGRADED,5310.0,7,0,0.153592,-977.705,60.271,1,0
210,6300.0,G07,DEGRADED,3150.0,7,0,0.182605,-957.872,21.233,1,4
211,6330.0,G03,DEGRADED,5340.0,8,0,0.163395,-938.170,48.419,1,0
211,6330.0,G04,DEGRADED,5340.0,8,0,0.153592,-922.706,60.456,1,0
211,6330.0,G07,DEGRADED,3180.0,8,0,0.182605,-903.073,21.280,1,4
212,6360.0,G03,DEGRADED,5370.0,9,0,0.163395,-741.407,48.207,1,0
212,6360.0,G04,DEGRADED,5370.0,9,0,0.153592,-735.348,60.641,1,0
212,6360.0,G07,DEGRADED,3210.0,9,0,0.182605,-715.679,21.327,1,4
213,6390.0,G03,DEGRADED,5400.0,10,0,0.163363,-282.079,47.994,1,0
213,6390.0,G04,DEGRADED,5400.0,10,0,0.153592,-270.260,60.825,1,0
