SOD,sat,arc_age,slip_detected,dGF_m,dMW_cyc,WL_before,WL_after,WL_jump,NL_fixed_before,NL_fixed_after,N1_before,N1_after,N2_before,N2_after,iono_before,iono_after,phase_rms_L1_mm,phase_rms_L2_mm,fallback_used,primary_signal_pair,osb_signal_pair,missing_prev_epoch,epochs_since_last_obs,mw_buffer_std,gf_consistency_triggered,iono_health_gate_triggered,reset_path,event_type
15930.0,E09,532,0,,,-9,-9,0,0,0,93.4096,93.3917,111.2513,111.2346,15.5870,15.6387,794.5849,1374.3997,0,C1C/L1C,C1C/L1C,0,,0.2501,0,0,NONE,L2_RMS_SPIKE
15930.0,E16,532,0,,,22,22,0,0,0,23.7085,23.7019,10.6821,10.6755,16.4841,16.6067,720.8739,1322.6957,0,C1C/L1C,C1C/L1C,0,,0.1807,0,0,NONE,L2_RMS_SPIKE
15960.0,E16,533,0,,,22,22,0,0,0,23.7019,23.7003,10.6755,10.6735,16.6067,16.7155,860.5016,1491.8125,0,C1C/L1C,C1C/L1C,0,,0.1822,0,0,NONE,L2_RMS_SPIKE
16050.0,G04,536,0,,,6,6,0,0,0,12.9111,12.9041,6.8422,6.8301,10.8753,10.8895,688.7738,1005.7240,0,C1C/L1C,C1C/L1C,0,,0.2518,0,0,NONE,L2_RMS_SPIKE
16080.0,G08,5,1,0.0860,-0.3158,,,,0,0,11.5167,11.5167,10.5337,10.5337,13.4587,13.4587,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.2545,0,0,MW_GF_SLIP,SLIP
16140.0,G09,479,0,,,-8,-8,0,1,0,2.5746,2.5610,10.5874,10.5707,6.2929,6.3321,154.0880,329.9821,0,C1C/L1C,C1C/L1C,0,,0.3445,0,0,NONE,NL_RELEASE
16170.0,G08,3,1,0.0868,-0.5128,,,,0,0,11.2504,11.2504,10.2751,10.2751,13.9388,13.9388,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.2739,0,0,MW_GF_SLIP,SLIP
16230.0,G04,542,0,,,6,6,0,0,0,12.8914,12.8873,6.8101,6.8038,11.1609,11.2095,730.4641,1047.7584,0,C1C/L1C,C1C/L1C,0,,0.2510,0,0,NONE,L2_RMS_SPIKE
16290.0,G08,4,1,0.0826,-0.3875,,,,0,0,11.6871,11.6871,11.9876,11.9876,14.7207,14.7207,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.3092,0,0,MW_GF_SLIP,SLIP
16290.0,G04,544,0,,,6,6,0,0,0,12.8848,12.8819,6.8002,6.7962,11.2708,11.3321,689.4936,1001.3865,0,C1C/L1C,C1C/L1C,0,,0.2506,0,0,NONE,L2_RMS_SPIKE
