SOD,sat,old_I_m,new_I_m,trigger,used_ionex,VTEC,sigma_new_m
84030.0,G26,-2.1701,1.4068,neg(-2.170m),1,7.235,3.000
84030.0,G31,-2.2582,1.7093,neg(-2.258m),1,6.854,3.000
84060.0,G03,-2.2376,1.5116,neg(-2.238m),1,7.079,3.000
84060.0,G16,-2.2391,1.3140,neg(-2.239m),1,7.412,3.000
84060.0,G26,-2.1737,1.4087,neg(-2.174m),1,7.232,3.000
84060.0,G31,-2.2578,1.7139,neg(-2.258m),1,6.852,3.000
84090.0,G03,-2.3033,1.5083,neg(-2.303m),1,7.085,3.000
84090.0,G16,-2.3006,1.3127,neg(-2.301m),1,7.414,3.000
84090.0,G26,-2.2695,1.4105,neg(-2.270m),1,7.229,3.000
84090.0,G31,-2.1353,1.7184,neg(-2.135m),1,6.850,3.000
84120.0,G03,-2.4672,1.5050,neg(-2.467m),1,7.090,3.000
84120.0,G16,-2.2488,1.3114,neg(-2.249m),1,7.416,3.000
84120.0,G26,-2.3074,1.4124,neg(-2.307m),1,7.226,3.000
84150.0,G03,-2.4329,1.5017,neg(-2.433m),1,7.095,3.000
84150.0,G16,-2.1236,1.3102,neg(-2.124m),1,7.417,3.000
84150.0,G26,-2.2759,1.4144,neg(-2.276m),1,7.223,3.000
84150.0,G31,-2.0485,1.7276,neg(-2.048m),1,6.847,3.000
84180.0,G03,-2.2340,1.4985,neg(-2.234m),1,7.101,3.000
84180.0,G16,-2.1245,1.3090,neg(-2.124m),1,7.419,3.000
84180.0,G26,-2.3109,1.4163,neg(-2.311m),1,7.220,3.000
84180.0,G31,-2.2603,1.7323,neg(-2.260m),1,6.845,3.000
84210.0,G03,-2.2654,1.4953,neg(-2.265m),1,7.106,3.000
84210.0,G16,-2.1014,1.3077,neg(-2.101m),1,7.421,3.000
84210.0,G26,-2.1398,1.4183,neg(-2.140m),1,7.217,3.000
84210.0,G31,-2.3153,1.7369,neg(-2.315m),1,6.843,3.000
84240.0,G03,-2.2697,1.4920,neg(-2.270m),1,7.111,3.000
84240.0,G16,-2.2144,1.3065,neg(-2.214m),1,7.423,3.000
84240.0,G26,-2.1484,1.4204,neg(-2.148m),1,7.214,3.000
84240.0,G31,-2.4450,1.7415,neg(-2.445m),1,6.841,3.000
84270.0,G03,-2.2332,1.4888,neg(-2.233m),1,7.116,3.000
84270.0,G16,-2.2146,1.3053,neg(-2.215m),1,7.424,3.000
84270.0,G26,-2.0631,1.4224,neg(-2.063m),1,7.211,3.000
84270.0,G31,-2.2190,1.7462,neg(-2.219m),1,6.839,3.000
84300.0,G03,-2.2104,1.4857,neg(-2.210m),1,7.121,3.000
84300.0,G16,-2.1769,1.3042,neg(-2.177m),1,7.426,3.000
84300.0,G26,-2.2975,1.4245,neg(-2.298m),1,7.207,3.000
84300.0,G31,-2.1898,1.7508,neg(-2.190m),1,6.837,3.000
84330.0,G03,-2.3675,1.4825,neg(-2.367m),1,7.126,3.000
84330.0,G16,-2.2002,1.3030,neg(-2.200m),1,7.427,3.000
84330.0,G26,-2.2852,1.4267,neg(-2.285m),1,7.204,3.000
84330.0,G31,-2.1906,1.7555,neg(-2.191m),1,6.835,3.000
84360.0,G03,-2.4807,1.4794,neg(-2.481m),1,7.130,3.000
84360.0,G16,-2.2191,1.3018,neg(-2.219m),1,7.428,3.000
84360.0,G26,-2.2292,1.4288,neg(-2.229m),1,7.201,3.000
84360.0,G31,-2.2415,1.7602,neg(-2.242m),1,6.833,3.000
84390.0,G03,-2.3036,1.4762,neg(-2.304m),1,7.135,3.000
84390.0,G16,-2.2339,1.3007,neg(-2.234m),1,7.430,3.000
84390.0,G26,-2.1924,1.4310,neg(-2.192m),1,7.198,3.000
84420.0,G03,-2.1859,1.4731,neg(-2.186m),1,7.140,3.000
84420.0,G16,-2.2660,1.2996,neg(-2.266m),1,7.431,3.000
84420.0,G26,-2.0994,1.4332,neg(-2.099m),1,7.195,3.000
84450.0,G03,-2.3253,1.4701,neg(-2.325m),1,7.144,3.000
84450.0,G16,-2.2686,1.2985,neg(-2.269m),1,7.432,3.000
84450.0,G26,-2.0969,1.4355,neg(-2.097m),1,7.192,3.000
84450.0,G31,-2.0036,1.7743,neg(-2.004m),1,6.827,3.000
84480.0,G03,-2.4327,1.4670,neg(-2.433m),1,7.149,3.000
84480.0,G16,-2.0754,1.2974,neg(-2.075m),1,7.433,3.000
84480.0,G26,-2.2209,1.4378,neg(-2.221m),1,7.189,3.000
84480.0,G31,-2.0935,1.7790,neg(-2.094m),1,6.825,3.000
84510.0,G03,-2.4494,1.4640,neg(-2.449m),1,7.153,3.000
84510.0,G16,-2.1988,1.2963,neg(-2.199m),1,7.434,3.000
84510.0,G26,-2.2616,1.4401,neg(-2.262m),1,7.186,3.000
84510.0,G31,-2.0911,1.7838,neg(-2.091m),1,6.823,3.000
84540.0,G03,-2.3095,1.4610,neg(-2.309m),1,7.158,3.000
84540.0,G16,-2.2856,1.2953,neg(-2.286m),1,7.435,3.000
84540.0,G26,-2.4136,1.4425,neg(-2.414m),1,7.183,3.000
84570.0,G03,-2.2542,1.4580,neg(-2.254m),1,7.162,3.000
84570.0,G16,-2.2081,1.2942,neg(-2.208m),1,7.436,3.000
84570.0,G26,-2.1868,1.4449,neg(-2.187m),1,7.180,3.000
84600.0,G03,-2.2480,1.4550,neg(-2.248m),1,7.166,3.000
84600.0,G16,-2.2016,1.2932,neg(-2.202m),1,7.437,3.000
84600.0,G26,-2.1348,1.4473,neg(-2.135m),1,7.177,3.000
84600.0,G31,-2.0737,1.7980,neg(-2.074m),1,6.817,3.000
84630.0,G03,-2.3178,1.4520,neg(-2.318m),1,7.171,3.000
84630.0,G16,-2.1137,1.2922,neg(-2.114m),1,7.437,3.000
84630.0,G26,-2.3108,1.4498,neg(-2.311m),1,7.174,3.000
84630.0,G31,-2.4259,1.8028,neg(-2.426m),1,6.815,3.000
84660.0,G03,-2.4328,1.4491,neg(-2.433m),1,7.175,3.000
84660.0,G16,-2.1077,1.2911,neg(-2.108m),1,7.438,3.000
84660.0,G26,-2.2951,1.4523,neg(-2.295m),1,7.170,3.000
84660.0,G31,-2.3858,1.8076,neg(-2.386m),1,6.812,3.000
84690.0,G03,-2.3662,1.4462,neg(-2.366m),1,7.179,3.000
84690.0,G16,-2.0912,1.2902,neg(-2.091m),1,7.438,3.000
84690.0,G26,-2.3239,1.4548,neg(-2.324m),1,7.167,3.000
84690.0,G31,-2.4595,1.8123,neg(-2.460m),1,6.810,3.000
84720.0,G03,-2.2822,1.4433,neg(-2.282m),1,7.183,3.000
84720.0,G16,-2.2807,1.2892,neg(-2.281m),1,7.439,3.000
84720.0,G26,-2.2924,1.4574,neg(-2.292m),1,7.164,3.000
84720.0,G31,-2.4393,1.8171,neg(-2.439m),1,6.808,3.000
84750.0,G03,-2.3140,1.4404,neg(-2.314m),1,7.187,3.000
84750.0,G16,-2.2435,1.2882,neg(-2.243m),1,7.439,3.000
84750.0,G26,-2.3290,1.4600,neg(-2.329m),1,7.161,3.000
84750.0,G31,-2.5463,1.8219,neg(-2.546m),1,6.806,3.000
84780.0,G03,-2.2944,1.4376,neg(-2.294m),1,7.190,3.000
84780.0,G16,-2.2568,1.2873,neg(-2.257m),1,7.440,3.000
84780.0,G26,-2.2008,1.4626,neg(-2.201m),1,7.158,3.000
84780.0,G31,-2.3218,1.8268,neg(-2.322m),1,6.803,3.000
84810.0,G03,-2.1626,1.4348,neg(-2.163m),1,7.194,3.000
