epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
195,6120.0,E09,DEGRADED,5850.0,0,2,5.000000,-62.749,52.661,1,0
195,6120.0,E16,DEGRADED,5850.0,0,2,5.000000,2.313,71.850,1,0
195,6120.0,E25,DEGRADED,4590.0,0,2,5.000000,-116.803,53.728,1,0
196,6150.0,E09,DEGRADED,5880.0,1,0,5.000000,-465.833,52.681,1,0
196,6150.0,E16,DEGRADED,5880.0,1,0,5.000000,-394.306,71.646,1,0
196,6150.0,E25,DEGRADED,4620.0,1,0,5.000000,-517.503,53.876,1,0
197,6180.0,E09,DEGRADED,5910.0,2,0,5.000000,-402.118,52.700,1,0
197,6180.0,E16,DEGRADED,5910.0,2,0,5.000000,-333.008,71.442,1,0
197,6180.0,E25,DEGRADED,4650.0,2,0,5.000000,-454.395,54.024,1,0
198,6210.0,E09,DEGRADED,5940.0,3,0,5.000000,-517.585,52.718,1,0
198,6210.0,E16,DEGRADED,5940.0,3,0,5.000000,-449.556,71.238,1,0
198,6210.0,E25,DEGRADED,4680.0,3,0,5.000000,-571.123,54.172,1,0
199,6240.0,E09,DEGRADED,5970.0,4,0,5.000000,-751.796,52.735,1,0
199,6240.0,E16,DEGRADED,5970.0,4,0,5.000000,-685.081,71.034,1,0
199,6240.0,E25,DEGRADED,4710.0,4,0,5.000000,-806.865,54.319,1,0
200,6270.0,E09,DEGRADED,6000.0,5,0,5.000000,-261.705,52.752,1,0
