SOD,sat,epochs_since_entry,old_I_state,GF_measured,GF_test_skipped,skip_reason,reset_triggered,trigger_reason
34440.0,G05,0,0.0000,20.1063,1,old_I_zero,0,guarded
34560.0,G05,0,0.0000,20.2423,1,old_I_zero,0,guarded
34980.0,G05,0,0.0000,19.2577,1,old_I_zero,0,guarded
34980.0,G12,0,0.0000,22.6993,1,old_I_zero,0,guarded
35070.0,G05,0,0.0000,17.9871,1,old_I_zero,0,guarded
35070.0,G12,0,0.0000,22.3902,1,old_I_zero,0,guarded
35280.0,G12,0,0.0000,20.7563,1,old_I_zero,0,guarded
35400.0,G12,0,0.0000,19.8675,1,old_I_zero,0,guarded
35490.0,G05,0,0.0000,16.1431,1,old_I_zero,0,guarded
35490.0,G12,0,0.0000,19.3111,1,old_I_zero,0,guarded
35580.0,G05,0,0.0000,17.3920,1,old_I_zero,0,guarded
35580.0,G12,0,0.0000,19.3961,1,old_I_zero,0,guarded
35670.0,G05,0,0.0000,17.7073,1,old_I_zero,0,guarded
35730.0,G12,0,0.0000,18.7963,1,old_I_zero,0,guarded
35760.0,G05,0,0.0000,16.4754,1,old_I_zero,0,guarded
35970.0,G05,0,0.0000,15.0595,1,old_I_zero,0,guarded
36060.0,G12,0,0.0000,18.1270,1,old_I_zero,0,guarded
36090.0,G05,0,0.0000,15.3238,1,old_I_zero,0,guarded
36180.0,G05,0,0.0000,15.6376,1,old_I_zero,0,guarded
36180.0,G12,0,0.0000,18.6711,1,old_I_zero,0,guarded
36270.0,G12,0,0.0000,18.3744,1,old_I_zero,0,guarded
36360.0,G05,0,0.0000,13.9605,1,old_I_zero,0,guarded
36540.0,G12,0,0.0000,17.9663,1,old_I_zero,0,guarded
37170.0,G14,0,0.0000,17.0436,1,old_I_zero,0,guarded
37230.0,G12,0,0.0000,15.7327,1,old_I_zero,0,guarded
37260.0,G14,0,0.0000,18.1024,1,old_I_zero,0,guarded
37350.0,G06,0,0.0000,14.8336,1,old_I_zero,0,guarded
37350.0,G12,0,0.0000,15.6446,1,old_I_zero,0,guarded
37440.0,G12,0,0.0000,15.6492,1,old_I_zero,0,guarded
37560.0,G06,0,0.0000,15.5261,1,old_I_zero,0,guarded
37680.0,G06,0,0.0000,16.3438,1,old_I_zero,0,guarded
37800.0,G06,0,0.0000,16.0022,1,old_I_zero,0,guarded
37890.0,G06,0,0.0000,16.2448,1,old_I_zero,0,guarded
38010.0,G06,0,0.0000,17.6205,1,old_I_zero,0,guarded
38100.0,G06,0,0.0000,16.9188,1,old_I_zero,0,guarded
38190.0,G06,0,0.0000,18.0116,1,old_I_zero,0,guarded
38310.0,G06,0,0.0000,17.2588,1,old_I_zero,0,guarded
