SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,NL_genuine,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
2670.0,BWD,1337935.7791,6070317.2405,1427877.5120,1337935.5599,6070317.2377,1427877.5071,+219.166,+2.843,+4.874,-213.417,-6.505,+49.763,219.238,5,11,8,0,2.0909,0.0978,2.1887,807.02,9.081
2700.0,BWD,1337935.7784,6070317.2405,1427877.5138,1337935.5599,6070317.2377,1427877.5071,+218.478,+2.846,+6.685,-212.745,-4.709,+50.030,218.599,5,11,8,0,2.0909,0.0984,2.1892,429.18,5.586
2730.0,BWD,1337935.7779,6070317.2403,1427877.5149,1337935.5599,6070317.2377,1427877.5071,+217.969,+2.563,+7.844,-212.309,-3.492,+49.915,218.125,5,11,8,0,2.0909,0.0985,2.1894,1397.44,3.757
2760.0,BWD,1337935.7772,6070317.2396,1427877.5153,1337935.5599,6070317.2377,1427877.5071,+217.338,+1.901,+8.243,-211.835,-2.927,+49.243,217.503,5,11,8,0,2.0909,0.0985,2.1894,505.76,3.281
2790.0,BWD,1337935.7767,6070317.2390,1427877.5153,1337935.5599,6070317.2377,1427877.5071,+216.774,+1.331,+8.249,-211.406,-2.769,+48.584,216.935,5,11,8,0,2.0909,0.0984,2.1892,605.33,3.759
2820.0,BWD,1337935.7766,6070317.2388,1427877.5155,1337935.5599,6070317.2377,1427877.5071,+216.658,+1.069,+8.391,-211.349,-2.567,+48.342,216.823,5,11,8,0,2.0909,0.0983,2.1891,512.32,3.818
2850.0,BWD,1337935.7765,6070317.2385,1427877.5157,1337935.5599,6070317.2377,1427877.5071,+216.563,+0.785,+8.592,-211.318,-2.305,+48.097,216.735,5,11,8,0,2.0909,0.0981,2.1890,771.70,4.864
2880.0,BWD,1337935.7768,6070317.2383,1427877.5165,1337935.5599,6070317.2377,1427877.5071,+216.870,+0.621,+9.383,-211.653,-1.513,+48.184,217.074,5,11,8,0,2.0909,0.0979,2.1888,626.44,3.935
2910.0,BWD,1337935.7768,6070317.2379,1427877.5165,1337935.5599,6070317.2377,1427877.5071,+216.949,+0.225,+9.410,-211.816,-1.402,+47.830,217.153,5,11,8,0,2.0909,0.0977,2.1885,803.86,4.419
2940.0,BWD,1337935.7770,6070317.2375,1427877.5166,1337935.5599,6070317.2377,1427877.5071,+217.068,-0.235,+9.546,-212.031,-1.175,+47.448,217.278,5,11,8,0,2.0909,0.0972,2.1881,586.03,1.404
