SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
63510.0,FWD,-31.980,+37.416,-131.427,140.341,13,2,0,0.1110,2590.12,253.744
63540.0,FWD,-31.962,+37.420,-131.463,140.373,13,2,0,0.1110,2854.30,342.649
63570.0,FWD,-31.936,+37.428,-131.498,140.401,13,2,0,0.1110,2984.02,263.464
63600.0,FWD,-31.917,+37.432,-131.530,140.428,12,2,0,0.1111,2731.33,178.061
63630.0,FWD,-29.964,+39.610,-130.733,139.850,12,2,0,0.1116,2597.79,269.566
63660.0,FWD,-29.950,+39.616,-130.767,139.880,12,2,0,0.1116,2649.81,194.417
63690.0,FWD,-29.931,+39.617,-130.796,139.904,12,2,0,0.1116,2849.92,314.078
63720.0,FWD,-29.915,+39.618,-130.824,139.926,12,2,0,0.1117,3036.03,261.652
63750.0,FWD,-29.911,+39.624,-130.853,139.955,12,2,0,0.1117,2634.77,333.631
63780.0,FWD,-29.913,+39.634,-130.888,139.990,12,2,0,0.1117,2561.91,192.269
63810.0,FWD,-29.892,+39.637,-130.920,140.017,12,2,0,0.1117,2680.17,401.810
63840.0,FWD,-29.875,+39.634,-130.951,140.041,12,2,0,0.1118,3013.13,350.199
63870.0,FWD,-29.521,+37.581,-129.363,137.909,12,2,0,0.1126,2698.63,272.110
63900.0,FWD,-29.488,+37.585,-129.388,137.925,12,2,0,0.1126,3319.15,501.302
63930.0,FWD,-29.473,+37.586,-129.413,137.946,12,2,0,0.1127,2962.91,290.519
63960.0,FWD,-29.449,+37.592,-129.442,137.969,12,2,0,0.1127,2816.74,348.050
63990.0,FWD,-29.432,+37.598,-129.470,137.994,12,2,0,0.1127,2397.48,265.237
64020.0,FWD,-29.416,+37.601,-129.498,138.018,12,3,0,0.1127,2833.44,240.712
64050.0,FWD,-29.400,+37.604,-129.524,138.040,12,3,0,0.1127,2959.14,192.356
64080.0,FWD,-29.377,+37.609,-129.551,138.061,12,3,0,0.1128,3016.39,192.701
64110.0,FWD,-29.344,+37.612,-129.575,138.078,12,3,0,0.1128,3127.87,189.404
64140.0,FWD,-29.326,+37.612,-129.601,138.098,12,3,0,0.1128,3074.14,182.167
64170.0,FWD,-29.316,+37.606,-129.625,138.117,12,3,0,0.1128,2867.84,181.013
64200.0,FWD,-29.294,+37.605,-129.649,138.134,12,3,0,0.1129,2891.79,182.292
64230.0,FWD,-29.932,+38.449,-130.257,139.073,12,3,0,0.1127,3150.50,253.048
64260.0,FWD,-29.916,+38.452,-130.284,139.095,12,3,0,0.1127,2847.85,292.169
64290.0,FWD,-29.929,+38.459,-130.321,139.135,12,3,0,0.1127,2681.24,181.829
64320.0,FWD,-29.357,+37.237,-129.252,137.676,12,4,0,0.1126,3108.57,248.895
64350.0,FWD,-29.305,+37.244,-129.276,137.688,13,3,0,0.1126,3060.08,301.022
64380.0,FWD,-29.327,+37.209,-129.323,137.728,13,3,0,0.1126,2458.66,295.504
64410.0,FWD,-30.287,+36.912,-128.758,137.326,13,3,0,0.1131,2453.03,307.519
64440.0,FWD,-30.274,+36.916,-128.787,137.352,13,3,0,0.1131,2535.59,184.965
64470.0,FWD,-28.718,+34.557,-127.204,134.906,13,3,0,0.1134,2753.49,228.461
64500.0,FWD,-28.685,+34.567,-127.229,134.925,13,3,0,0.1134,2823.99,198.770
64530.0,FWD,-27.371,+34.561,-128.370,135.730,13,3,0,0.1139,2800.20,297.085
64560.0,FWD,-27.364,+34.566,-128.398,135.755,13,3,0,0.1140,2441.79,262.485
64590.0,FWD,-27.356,+34.573,-128.422,135.779,13,3,0,0.1140,2962.73,213.943
64620.0,FWD,-26.483,+33.014,-127.546,134.385,13,3,0,0.1141,2631.83,226.355
64650.0,FWD,-25.510,+32.654,-127.541,134.104,13,3,0,0.1137,2892.31,229.674
64680.0,FWD,-25.509,+32.662,-127.567,134.130,13,4,0,0.1138,2735.57,177.964
64710.0,FWD,-25.489,+32.669,-127.593,134.153,13,4,0,0.1138,2871.53,190.838
64740.0,FWD,-25.458,+32.673,-127.616,134.170,13,4,0,0.1138,2837.28,290.172
64770.0,FWD,-25.366,+32.898,-127.027,133.647,13,4,0,0.1136,2898.77,181.347
64800.0,FWD,-25.253,+34.671,-125.451,132.581,13,4,0,0.1167,3413.10,296.591
64830.0,FWD,-25.276,+34.678,-125.469,132.605,13,4,0,0.1167,2429.19,370.715
64860.0,FWD,-25.276,+34.682,-125.484,132.620,13,4,0,0.1167,2705.19,276.594
64890.0,FWD,-22.407,+35.064,-125.547,132.264,12,4,0,0.1163,2878.09,244.439
64920.0,FWD,-22.377,+35.069,-125.559,132.271,12,4,0,0.1163,3109.05,181.050
64950.0,FWD,-22.325,+35.066,-125.565,132.267,12,4,0,0.1163,3142.09,327.376
64980.0,FWD,-22.299,+35.063,-125.579,132.275,12,4,0,0.1163,2962.70,180.579
65010.0,FWD,-22.268,+35.061,-125.591,132.281,12,4,0,0.1163,2951.69,186.177
65040.0,FWD,-20.016,+38.281,-124.732,132.001,12,4,0,0.1191,2860.33,292.795
65070.0,FWD,-19.992,+38.286,-124.731,131.998,12,4,0,0.1191,2818.22,201.187
65100.0,FWD,-19.957,+38.287,-124.730,131.991,12,4,0,0.1192,2836.47,178.221
65130.0,FWD,-16.793,+37.597,-123.974,130.633,12,4,0,0.1188,2801.44,238.576
65160.0,FWD,-16.762,+37.595,-123.977,130.631,12,4,0,0.1188,2903.06,189.124
65190.0,FWD,-16.758,+37.594,-123.983,130.636,12,4,0,0.1188,2601.95,441.894
65220.0,FWD,-16.753,+37.593,-123.986,130.638,12,4,0,0.1188,2991.73,243.357
