epoch,sod,sat,lineage_id,generation,parent_lineage_id,old_state,new_state,reason,sigma_mm,state_index,active,observable,in_filter,gap_length_epochs,convergence_score,rolling_sigma_mm,rolling_residual_rms_mm,acceptance_ratio,continuous_active_epochs,continuous_filter_epochs
-1,nan,G08,LIN-001665,56,LIN-001664,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001665,56,LIN-001664,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
535,16050.0,G08,LIN-001666,57,LIN-001665,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
535,16050.0,G08,LIN-001666,57,LIN-001665,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001666,57,LIN-001665,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001666,57,LIN-001665,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
536,16080.0,G08,LIN-001667,58,LIN-001666,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
536,16080.0,G08,LIN-001667,58,LIN-001666,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001667,58,LIN-001666,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001667,58,LIN-001666,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
537,16110.0,G08,LIN-001668,59,LIN-001667,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
537,16110.0,G08,LIN-001668,59,LIN-001667,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001668,59,LIN-001667,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001668,59,LIN-001667,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
538,16140.0,G08,LIN-001669,60,LIN-001668,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
538,16140.0,G08,LIN-001669,60,LIN-001668,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001669,60,LIN-001668,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001669,60,LIN-001668,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
539,16170.0,G08,LIN-001670,61,LIN-001669,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
539,16170.0,G08,LIN-001670,61,LIN-001669,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001670,61,LIN-001669,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001670,61,LIN-001669,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
540,16200.0,G08,LIN-001671,62,LIN-001670,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
540,16200.0,G08,LIN-001671,62,LIN-001670,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001671,62,LIN-001670,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001671,62,LIN-001670,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
541,16230.0,G08,LIN-001672,63,LIN-001671,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
541,16230.0,G08,LIN-001672,63,LIN-001671,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001672,63,LIN-001671,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001672,63,LIN-001671,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
542,16260.0,G08,LIN-001673,64,LIN-001672,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
542,16260.0,G08,LIN-001673,64,LIN-001672,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001673,64,LIN-001672,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001673,64,LIN-001672,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
543,16290.0,G08,LIN-001674,65,LIN-001673,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
543,16290.0,G08,LIN-001674,65,LIN-001673,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
543,16290.0,G19,LIN-001675,0,,NEW,ACTIVE,genesis_birth,20000.00,29,1,1,0,0,0.0000,nan,nan,nan,0,0
-1,nan,G08,LIN-001674,65,LIN-001673,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
-1,nan,G08,LIN-001674,65,LIN-001673,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.1256,0,0
544,16320.0,G08,LIN-001676,66,LIN-001674,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1256,0,0
