SOD,nGPS,nGal,NL_count,WL_count,n_sats,GPS_NE_frac,gal_sig_scale,Gal_leverage,sigma_U_comb_mm,sigma_U_GPS_mm,ISB_m,P_ISB_m2,ISB_observable,ZWD_m,P_ZWD_m2,corr_U_ZWD,corr_mean_60ep,Q_ZWD_m2s,decorr_active,trace_P_pos_m2,nml_sc_gps,nml_sc_gal
49860.0,8,3,0,2,11,0.6884,1.0000,255.975,14.49,3709.06,+1.386325,0.004332,1,0.119348,0.00002918,-0.0313,0.0340,5.000e-11,0,0.001111,1.0000,1.0000
49920.0,8,3,0,2,11,0.7778,1.0000,248.870,14.49,3605.14,+1.385121,0.004349,1,0.119343,0.00002915,-0.0312,0.0340,5.000e-11,0,0.001111,1.0000,1.0000
49980.0,8,3,0,2,11,0.8893,1.0000,300.198,14.48,4347.54,+1.380658,0.004344,1,0.119339,0.00002911,-0.0311,0.0339,5.000e-11,0,0.001111,1.0050,0.9950
50040.0,8,3,0,2,11,0.9639,1.0000,283.871,14.48,4110.01,+1.380016,0.004355,1,0.119310,0.00002908,-0.0310,0.0338,5.000e-11,0,0.001110,1.0000,1.0000
50100.0,8,3,0,2,11,0.8978,1.0000,295.643,14.47,4279.35,+1.376180,0.004376,1,0.119312,0.00002904,-0.0309,0.0337,5.000e-11,0,0.001110,1.0050,0.9950
50160.0,8,3,0,2,11,0.9001,1.0000,295.264,14.47,4272.78,+1.375801,0.004401,1,0.119312,0.00002901,-0.0308,0.0336,5.000e-11,0,0.001110,1.0098,0.9902
50220.0,8,3,0,2,11,0.8545,1.0000,227.936,14.47,3297.64,+1.372800,0.004426,1,0.119287,0.00002897,-0.0307,0.0335,5.000e-11,0,0.001110,1.0143,0.9857
50280.0,8,3,0,2,11,0.8562,1.0000,227.032,14.46,3283.72,+1.372405,0.004453,1,0.119283,0.00002894,-0.0306,0.0334,5.000e-11,0,0.001110,1.0185,0.9815
50340.0,8,3,0,2,11,0.8580,1.0000,226.326,14.46,3272.69,+1.372396,0.004478,1,0.119280,0.00002890,-0.0306,0.0334,5.000e-11,0,0.001111,1.0226,0.9774
50400.0,8,3,0,2,11,0.5463,1.0000,282.304,14.46,4081.06,+1.370007,0.004437,1,0.119273,0.00002887,-0.0305,0.0333,5.000e-11,0,0.001111,1.0000,1.0000
50460.0,8,3,0,2,11,0.6264,1.0000,274.318,14.45,3964.61,+1.364633,0.004443,1,0.119258,0.00002883,-0.0304,0.0332,5.000e-11,0,0.001111,1.0000,1.0000
50520.0,8,3,0,2,11,0.3035,1.0000,289.622,14.45,4184.73,+1.364564,0.004452,1,0.119254,0.00002880,-0.0303,0.0331,5.000e-11,0,0.001111,1.0000,1.0000
50580.0,8,3,0,2,11,0.3152,1.0000,289.093,14.45,4176.05,+1.359752,0.004483,1,0.119250,0.00002876,-0.0303,0.0330,5.000e-11,0,0.001111,1.0000,1.0000
50640.0,8,3,0,2,11,0.8440,1.0000,223.958,14.44,3234.35,+1.358233,0.004490,1,0.119245,0.00002873,-0.0302,0.0329,5.000e-11,0,0.001111,1.0050,0.9950
50700.0,8,3,0,2,11,0.8452,1.0000,223.651,14.44,3229.12,+1.356934,0.004507,1,0.119222,0.00002869,-0.0301,0.0328,5.000e-11,0,0.001111,1.0098,0.9902
