SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
5970.0,G03,+0.06014,+0.10043,-0.04029,0.0733,63,0
5970.0,G16,-0.45611,+0.46674,+0.07715,0.0656,56,0
6000.0,G03,+0.06575,+0.10753,-0.04178,0.0731,64,0
6000.0,G16,-0.42121,+0.46674,+0.11205,0.0655,56,0
6030.0,G03,+0.05982,+0.11253,-0.05271,0.0729,65,0
6030.0,G16,-0.44287,+0.46674,+0.09039,0.0653,56,0
6060.0,G03,+0.07436,+0.11765,-0.04330,0.0728,66,0
6060.0,G16,-0.42922,+0.47861,+0.09217,0.0651,57,0
6090.0,G03,+0.09090,+0.12121,-0.03031,0.0726,67,0
6090.0,G16,-0.41841,+0.49100,+0.09059,0.0650,58,0
6120.0,G03,+0.09933,+0.12443,-0.02511,0.0724,68,0
6120.0,G16,-0.44101,+0.49100,+0.06799,0.0648,58,0
6150.0,G03,+0.11970,+0.12443,-0.00473,0.0723,68,0
6150.0,G16,-0.42623,-0.49886,+0.07263,0.0647,59,0
6180.0,G03,+0.13167,+0.12159,+0.01008,0.0721,69,0
6180.0,G16,-0.41312,-0.48871,+0.07560,0.0645,60,0
6210.0,G03,+0.12131,+0.11785,+0.00346,0.0720,70,0
6210.0,G16,-0.41984,-0.48087,+0.06103,0.0644,61,0
6240.0,G03,+0.08252,+0.11785,-0.03533,0.0718,70,0
6240.0,G16,-0.43898,-0.47489,+0.03591,0.0642,62,0
6270.0,G03,+0.04140,+0.11785,-0.07645,0.0716,70,0
6270.0,G16,-0.44017,-0.46989,+0.02971,0.0641,63,0
6300.0,G03,+0.04851,+0.10893,-0.06042,0.0715,71,0
6300.0,G16,-0.44928,-0.46631,+0.01703,0.0640,64,0
6330.0,G03,+0.07842,+0.10893,-0.03051,0.0713,71,0
6330.0,G16,-0.43754,-0.46234,+0.02480,0.0638,65,0
6360.0,G03,+0.14256,+0.10893,+0.03362,0.0711,71,0
6360.0,G16,-0.44622,-0.46394,+0.01772,0.0637,66,0
6390.0,G03,+0.09623,+0.10893,-0.01271,0.0709,71,0
6390.0,G16,-0.47024,-0.46394,-0.00630,0.0635,66,0
6420.0,G03,+0.07904,+0.10274,-0.02370,0.0707,72,0
6420.0,G16,-0.48305,-0.46384,-0.01921,0.0633,67,0
6450.0,G03,+0.07895,+0.09718,-0.01823,0.0706,73,0
6450.0,G16,-0.47528,-0.46325,-0.01202,0.0632,68,0
6480.0,G03,+0.05725,+0.09718,-0.03993,0.0704,73,0
6480.0,G16,-0.49178,-0.46276,-0.02902,0.0631,69,0
6510.0,G03,+0.04981,+0.08996,-0.04015,0.0702,74,0
6510.0,G16,-0.49016,-0.46133,-0.02883,0.0629,70,0
6540.0,G03,+0.04501,+0.08256,-0.03754,0.0700,75,0
6540.0,G16,+0.49796,-0.46133,-0.04071,0.0628,70,0
6570.0,G03,+0.01996,+0.08256,-0.06260,0.0698,75,0
6570.0,G16,+0.48506,-0.46149,-0.05345,0.0625,71,0
6600.0,G03,+0.05340,+0.08256,-0.02916,0.0697,75,0
6600.0,G16,-0.48949,-0.46149,-0.02800,0.0624,71,0
6630.0,G03,+0.07519,+0.08256,-0.00737,0.0695,75,0
6630.0,G16,-0.46039,-0.46149,+0.00110,0.0623,71,0
6660.0,G03,+0.08935,+0.08190,+0.00745,0.0694,76,0
6660.0,G16,-0.44797,-0.45851,+0.01054,0.0621,72,0
6690.0,G03,+0.10397,+0.08151,+0.02247,0.0692,77,0
6690.0,G16,-0.43541,-0.45412,+0.01871,0.0620,73,0
6720.0,G03,+0.10103,+0.08116,+0.01987,0.0691,78,0
6720.0,G16,-0.44071,-0.45091,+0.01021,0.0618,74,0
6750.0,G03,+0.09253,+0.08072,+0.01180,0.0689,79,0
6750.0,G16,-0.44484,-0.44985,+0.00501,0.0617,75,0
6780.0,G03,+0.06677,+0.08072,-0.01395,0.0688,79,0
6780.0,G16,-0.47348,-0.44985,-0.02362,0.0616,75,0
6810.0,G03,+0.03258,+0.08072,-0.04814,0.0686,79,0
6810.0,G16,-0.47759,-0.45094,-0.02665,0.0614,76,0
6840.0,G03,+0.01829,+0.07779,-0.05950,0.0685,80,0
6840.0,G16,-0.49700,-0.45435,-0.04265,0.0613,77,0
6870.0,G03,+0.02207,+0.07515,-0.05309,0.0683,81,0
6870.0,G16,+0.49722,-0.45435,-0.04843,0.0611,77,0
6900.0,G03,+0.04174,+0.07368,-0.03195,0.0682,82,0
6900.0,G16,-0.49544,-0.45435,-0.04109,0.0610,77,0
6930.0,G03,+0.04731,+0.07304,-0.02573,0.0680,83,0
6930.0,G16,-0.48265,-0.45759,-0.02506,0.0609,78,0
6960.0,G03,+0.04238,+0.07185,-0.02947,0.0679,84,0
6960.0,G16,-0.47895,-0.46025,-0.01870,0.0607,79,0
6990.0,G03,+0.02658,+0.07019,-0.04361,0.0678,85,0
