SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
6990.0,G16,-0.49353,-0.46428,-0.02925,0.0606,80,0
7020.0,G03,+0.00610,+0.07019,-0.06409,0.0676,85,0
7020.0,G16,+0.49856,-0.46428,-0.03716,0.0605,80,0
7050.0,G03,+0.00808,+0.06687,-0.05879,0.0675,86,0
7050.0,G16,-0.49798,-0.46428,-0.03370,0.0604,80,0
7080.0,G03,+0.01896,+0.06322,-0.04426,0.0674,87,0
7080.0,G16,-0.48562,-0.46757,-0.01805,0.0602,81,0
7110.0,G03,+0.05009,+0.06322,-0.01313,0.0672,87,0
7110.0,G16,-0.45921,-0.46757,+0.00836,0.0601,81,0
7140.0,G03,+0.06891,+0.06168,+0.00723,0.0671,88,0
7140.0,G16,-0.43978,-0.46761,+0.02783,0.0600,82,0
7170.0,G03,+0.04663,+0.06168,-0.01505,0.0669,88,0
7170.0,G16,-0.45305,-0.46826,+0.01521,0.0599,83,0
7200.0,G03,+0.03433,+0.05683,-0.02250,0.0668,89,0
7200.0,G16,-0.45692,-0.46864,+0.01172,0.0598,84,0
7230.0,G03,+0.05162,+0.05338,-0.00176,0.0667,90,0
7230.0,G16,-0.45297,-0.46941,+0.01644,0.0596,85,0
7260.0,G03,+0.01564,+0.05338,-0.03774,0.0665,90,0
7260.0,G16,-0.49751,-0.46941,-0.02810,0.0595,85,0
7290.0,G03,+0.04407,+0.05338,-0.00930,0.0664,90,0
7290.0,G16,-0.46358,-0.46941,+0.00583,0.0594,85,0
7320.0,G03,+0.05542,+0.05373,+0.00169,0.0663,91,0
7320.0,G16,-0.43497,-0.46941,+0.03444,0.0592,85,0
7350.0,G03,+0.05586,+0.05256,+0.00331,0.0661,92,0
7350.0,G16,-0.42465,-0.46835,+0.04370,0.0591,86,0
7380.0,G03,+0.05135,+0.05116,+0.00019,0.0660,93,0
7380.0,G16,-0.41899,-0.46514,+0.04615,0.0590,87,0
