SOD,ISB_E_m,P_ISB_m2,NL_count,isb_reinitialized
36840.0,+1.643282,0.003287,0,0
36900.0,+1.643460,0.003306,0,0
36960.0,+1.644617,0.003327,0,0
37020.0,+1.642636,0.003348,0,0
37080.0,+1.644752,0.003369,0,0
37140.0,+1.647449,0.003389,0,0
37200.0,+1.648974,0.003409,0,0
37260.0,+1.654070,0.003417,0,0
37320.0,+1.656353,0.003431,0,0
37380.0,+1.654778,0.003445,0,0
37440.0,+1.658043,0.003461,0,0
37500.0,+1.654899,0.003476,0,0
37560.0,+1.652772,0.003424,0,0
37620.0,+1.654094,0.003413,0,0
37680.0,+1.655095,0.003420,0,0
37740.0,+1.651749,0.003430,0,0
37800.0,+1.650454,0.003444,0,0
37860.0,+1.652339,0.003466,0,0
37920.0,+1.651278,0.003483,0,0
37980.0,+1.651257,0.003505,0,0
38040.0,+1.655639,0.003333,0,0
38100.0,+1.647923,0.003320,0,0
38160.0,+1.651175,0.003332,0,0
38220.0,+1.651722,0.003357,0,0
38280.0,+1.653376,0.003385,0,0
38340.0,+1.655098,0.003401,0,0
38400.0,+1.656932,0.003427,0,0
38460.0,+1.658159,0.003453,0,0
38520.0,+1.658682,0.003480,0,0
38580.0,+1.659311,0.003505,0,0
38640.0,+1.660132,0.003530,0,0
38700.0,+1.660430,0.003556,0,0
38760.0,+1.661412,0.003581,0,0
38820.0,+1.662105,0.003606,0,0
38880.0,+1.663423,0.003601,0,0
38940.0,+1.661316,0.003616,0,0
39000.0,+1.657808,0.003634,0,0
39060.0,+1.659422,0.003653,0,0
39120.0,+1.658477,0.003674,0,0
39180.0,+1.658686,0.003690,0,0
39240.0,+1.654091,0.003656,0,0
39300.0,+1.652635,0.003658,0,0
39360.0,+1.652630,0.003669,0,0
39420.0,+1.656114,0.003650,0,0
39480.0,+1.656690,0.003664,0,0
39540.0,+1.657977,0.003681,0,0
39600.0,+1.661279,0.003699,0,0
39660.0,+1.665050,0.003718,0,0
39720.0,+1.667072,0.003735,0,0
39780.0,+1.664298,0.003751,0,0
39840.0,+1.664000,0.003673,0,0
39900.0,+1.662532,0.003652,0,0
39960.0,+1.664844,0.003628,0,0
40020.0,+1.660634,0.003624,0,0
40080.0,+1.660405,0.003626,0,0
40140.0,+1.662827,0.003643,0,0
40200.0,+1.660728,0.003593,0,0
40260.0,+1.660527,0.003579,0,0
40320.0,+1.662138,0.003584,0,0
40380.0,+1.659967,0.003589,0,0
40440.0,+1.657589,0.003607,0,0
40500.0,+1.658439,0.003609,0,0
40560.0,+1.655841,0.003622,0,0
